Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Poland,"POL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","3847.90105765596","4251.62677338975","4438.61376472094","4815.26355398291","5524.96424876965","6747.05333644908","7543.10852292025","9386.70787095303","11941.3174463888","9791.8521223465","10519.1517720358","11566.2371599885","11004.7251884868","11445.9393999337","11957.2090403552","10613.0806248151","10405.6612617759","11609.6181305667","13050.2422297837","13241.2566021095","13469.780485099"
Ukraine,"UKR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","488.089263916016","609.498474121094","689.938659667969","820.34228515625","1090.3232421875","1488.48547363281","1873.92687988281","2552.73315429688","3234.47412109375","2021.95104980469","2436.32739257813","2911.00708007813","3354.85131835938","3474.39892578125","2608.80590820313","1908.15344238281","1884.49853515625","2310.20092773438","2690.02978515625","3197.59155273438","3279.91259765625"

